ID,Point Code,Layer Number,Starting Depth (mm),Ending Depth (mm),Hue,Texture,Value,Chroma
,TyroneSt,2,,,10YR,Sandy loam,4,2
,TyroneSt,1,,,10YR,Loamy sand,5,2
,TyroneSt,1,,,10YR,Sandy clay loam,2,2
,TyroneSt,1,,,10YR,Sand,2,2
,TyroneSt,1,,,10YR,Sandy loam,2,1
,Primson,2,,,10YR,Silty clay,5,2
,Primson,0,,,10YR,Clay,0,0
,Primson,1,,,10YR,Silty clay,4,2
,Primson,1,,,10YR,Silty clay,3,2
,Primson,1,,,10YR,Silty clay,3,4
,LeidigRec,1,,,10YR,Silty clay loam ,3,2
,LeidigRec,1,,,10YR,Silty clay loam ,2,2
,LeidigRec,2,,,10YR,Silty clay,3,2
,LeidigRec,1,,,10YR,Silty clay,2,2
,LeidigRec,1,,,10YR,Silty clay,2,2
,LeidigRec,1,,,10YR,Clay,4,2
,LeidigRec,2,,,10YR,Silty clay,3,2
,LeidigRec,2,,,10YR,Silty clay,3,4
,Loyola,1,,,10YR,Silty clay,3,2
,Loyola,2,,,10YR,Loamy sand,2,2
,Loyola,1,,,10YR,Silty clay,3,2
,KenOak,2,,,5YR,Silty clay,4,2
,KenOak,2,,,7.5YR,Sandy clay loam,2,2
,KenOak,2,,,5YR,Silty clay,2,2
,KenOak,1,,,10YR,Silty clay,4,3
,Hockley,2,,,10YR,Silty clay,2,2
,Hockley,2,,,10YR,Silty clay,4,3
,Hockley,2,,,10YR,Silty clay,3,2
,Hockley,2,,,10YR,Silty clay,2,1
,Hockley,3,,,10YR,Silty clay,4,2
,Hockley,3,,,10YR,Silty clay,4,2
,Hockley,2,,,10YR,Silty clay,2,2
,Hockley,1,,,10YR,Sandy clay loam,3,2
,Hockley,2,,,10YR,Sandy clay,3,2
,Hockley,2,,,10YR,Clay,3,2
,Hockley,2,,,10YR,Silty clay,3,2
,Hockley,2,,,10YR,Silty clay,3,1
,Stillmeadow,1,,,10YR,Silty clay,3,3
,Stillmeadow,2,,,10YR,Silty clay ,3,3
,Stillmeadow,2,,,10YR,Silty clay ,2,2
,Stillmeadow,2,,,10YR, Silty clay,3,2
,Stillmeadow,1,,,10YR,Silty clay,3,2
,Stillmeadow,2,,,10YR,Silty clay,3,3
,Stillmeadow,2,,,10YR,Silty clay,2,1
,Stillmeadow,2,,,10YR,Silty clay,4,4
,Stillmeadow,2,,,10YR,Silty clay,3,2
,Stillmeadow,2,,,10YR,Silty clay,4,3
,Stillmeadow,2,,,10YR,Silty clay,3,1
,Stillmeadow,1,,,7.5YR,Silty clay,2.5,2
,Stillmeadow,2,,,10YR,Silty clay,3,2
,Stillmeadow,2,,,7.5YR,Silty clay,4,4
,Stillmeadow,2,,,10YR,Clay,3,3
,Stillmeadow,2,,,7.5YR,Silty clay,3,3
,Stillmeadow,2,,,7.5YR,Sandy clay,3,2
,Stillmeadow,2,,,7.5YR,Sandy clay loam,3,3
,Stillmeadow,2,,,5YR,Sandy clay,2,2
,Stillmeadow,2,,,7.5YR,Sandy clay loam,3,3
,Stillmeadow,2,,,7.5YR,Silty clay,3,2
,Stillmeadow,3,,,7.5YR,Sandy clay,3,2
,Stillmeadow,2,,,10YR,Silty clay,3,6
,Stillmeadow,2,,,7.5YR,Silty clay loam ,3,2
,Stillmeadow,1,,,7.5 YR,Silty clay loam,3,4
,ForestGlen,2,,,7.5YR,Silty clay loam,3,3
,ForestGlen,1,,,10YR,Silty clay,3,1
,ForestGlen,1,,,10YR,Sandy clay,3,2
,ForestGlen,1,,,10YR,Silty clay,3,2
,ForestGlen,1,,,7.5YR,Silty clay,3,6
,ForestGlen,2,,,10YR,Silty clay,4,4
,ForestGlen,1,,,10YR,Silty clay loam,2,1
,ForestGlen,1,,,10YR,Silty clay,2,2
,ForestGlen,1,,,10YR,Silty clay,3,1
,ForestGlen,2,,,10YR,Silty clay,3,2
,ForestGlen,1,,,10YR,Clay loam,2,2
,ForestGlen,2,,,10YR,Silty clay loam,3,1
,ForestGlen,2,,,10YR,Sandy clay loam,2,2
,ForestGlen,2,,,2.5Y,Sandy clay,3,2
,ForestGlen,2,,,2.5Y,Silty clay loam,3,3
,ForestGlen,1,,,10YR,Sandy loam,3,3
,ForestGlen,1,,,10YR,Silty clay,3,4
,ForestGlen,2,,,10YR,Sandy loam,3,1
,ForestGlen,1,,,10YR,Loam,2,1
,ForestGlen,1,,,10YR,Silty clay loam,2,2
,ForestGlen,1,,,10YR,Silty clay,2,1
,ForestGlen,1,,,10YR,Silty clay loam,3,1
,ForestGlen,1,,,10YR,Silty clay,2,1
,ForestGlen,1,,,10YR,Sandy clay loam,4,2
,ForestGlen,1,,,10YR,Silt clay loam,2,1
,ForestGlen,1,,,2.5Y,Silty clay,3,2
,ForestGlen,2,,,10YR,Silty clay,2,1
,ForestGlen,1,,,10YR,Silty clay ,2,2
,ForestGlen,2,,,10YR,Silt loam,3,1
,ForestGlen,1,,,10YR,Silt loam,2,1
,ForestGlen,1,,,10YR,Silt loam,2,1
,ForestGlen,1,,,10YR,Silty clay ,3,2
,ForestGlen,1,,,10YR,Silty clay ,3,2
,ForestGlen,1,,,2.5Y,Sandy clay,4,2
,ForestGlen,2,,,10YR,Silty clay,3,2
,ForestGlen,1,,,5YR,Silty clay ,3,2
,ForestGlen,1,,,10YR,Silty clay loam,4,2
,ForestGlen,3,,,10YR,Silty clay,3,3
,ForestGlen,2,,,10YR,Silty clay,3,3
,ForestGlen,2,,,10YR,Silty clay,3,1
,ForestGlen,2,,,10YR,Clay,3,2
,ForestGlen,2,,,10YR,Silty clay,3,2
,ForestGlen,2,,,2.5Y,Sandy clay,3,2
,ForestGlen,2,,,10YR,Sandy loam,4,2
,ForestGlen,3,,,10YR,Silty clay,3,3
,VillageSq,1,,,10YR,Sandy loam,3,3
,VillageSq,1,,,10YR,Silty clay,3,2
,VillageSq,2,,,10YR,Silty clay loam,3,2
