"1004","5","300","SETON 17"
"1005","1","300","SETON 2"
"1006","2","300","SETON 2"
"1007","3","275","SETON 2"
"1008","4","310","SETON 2"
"1009","5","300","SETON 2"
"1010","1","300","SETON 20"
"1011","2","350","SETON 20"
"1012","3","250","SETON 20"
"1013","4","300","SETON 20"
"1014","5","325","SETON 20"
"1015","1","300","SETON 23"
"1016","2","300","SETON 23"
"1017","3","260","SETON 23"
"1018","4","275","SETON 23"
"1019","5","310","SETON 23"
"1020","1","275","SETON 26"
"1021","2","270","SETON 26"
"1022","3","250","SETON 26"
"1023","4","300","SETON 26"
"1024","5","300","SETON 26"
"1025","1","200","SETON 29"
"1026","2","150","SETON 29"
"1027","3","225","SETON 29"
"1028","4","150","SETON 29"
"1029","5","125","SETON 29"
"1030","1","250","SETON 6"
"1031","2","175","SETON 6"
"1032","3","190","SETON 6"
"1033","4","150","SETON 6"
"1034","5","300","SETON 6"
"1035","1","250","SETON 9"
"1036","2","250","SETON 9"
"1037","3","250","SETON 9"
"1038","4","275","SETON 9"
"1039","5","275","SETON 9"
"1040","1","125","SINAI 13"
"1041","2","150","SINAI 13"
"1042","3","150","SINAI 13"
"1043","4","100","SINAI 13"
"1044","5","100","SINAI 13"
"1045","1","275","SINAI 16"
"1046","2","275","SINAI 16"
"1047","3","225","SINAI 16"
"1048","4","230","SINAI 16"
"1049","5","300","SINAI 16"
"1050","1","210","SINAI 19"
"1051","2","210","SINAI 19"
"1052","3","240","SINAI 19"
"1053","4","225","SINAI 19"
"1054","5","275","SINAI 19"
"1055","1","175","SINAI 23"
"1056","2","180","SINAI 23"
"1057","3","200","SINAI 23"
"1058","4","200","SINAI 23"
"1059","5","185","SINAI 23"
"1060","1","150","SINAI 26"
"1061","2","150","SINAI 26"
"1062","3","150","SINAI 26"
"1063","4","150","SINAI 26"
"1064","5","160","SINAI 26"
"1065","1","135","SINAI 27"
"1066","2","210","SINAI 27"
"1067","3","160","SINAI 27"
"1068","4","175","SINAI 27"
"1069","5","175","SINAI 27"
"1070","1","225","SINAI 31"
"1071","2","250","SINAI 31"
"1072","3","275","SINAI 31"
"1073","4","175","SINAI 31"
"1074","5","225","SINAI 31"
"1075","1","200","SINAI 34"
"1076","2","200","SINAI 34"
"1077","3","175","SINAI 34"
"1078","4","150","SINAI 34"
"1079","5","250","SINAI 34"
"1080","1","170","SINAI 4"
"1081","2","180","SINAI 4"
"1082","3","200","SINAI 4"
